STOP_SEQUENCE,CUM_TIME,CUM_DIST
104,13,0.008
104,16,0.014
104,19,0.016
104,21,0.104
104,22,0.19
103,23,0.43
101,25,0.84
97,28,1.432
93,31,1.849
90,34,2.318
85,37,2.925
83,40,3.235
81,43,3.457
77,46,3.961
74,49,4.543
71,52,4.997
68,55,5.625
65,58,5.962
64,61,6.349
59,64,6.747
56,67,7.128
54,69,7.489
52,71,7.826
50,72,8.245
46,75,8.903
43,78,9.381
41,80,9.615
40,81,9.856
36,84,10.308
33,87,10.54
31,90,10.85
28,93,11.272
25,96,12.027
21,99,12.641
19,101,12.924
18,102,13.144
14,105,13.936
10,108,14.515
7,111,14.951
5,114,15.58
2,117,16.095
119,0,0
109,6,0.899
104,9,2.122
103,12,2.379
98,15,3.134
94,18,3.687
91,21,4.006
91,22,4.068
90,24,4.318
84,27,4.963
81,30,5.386
78,33,5.815
74,36,6.403
71,39,6.902
68,42,7.425
68,43,7.566
65,45,7.874
64,47,8.271
60,51,8.534
58,53,8.855
56,56,9.154
52,61,9.715
50,62,10.151
47,65,10.674
44,68,11.081
36,75,12.146
32,77,12.494
30,80,12.876
28,83,13.131
26,86,13.625
26,87,13.759
21,89,14.417
20,0,0
20,2,0
20,5,0.002
20,11,0.004
20,14,0.006
20,17,0.007
20,31,0.041
21,33,0.278
25,34,0.755
27,36,1.196
29,40,1.669
31,43,2.017
35,46,2.459
41,49,3.09
43,51,3.441
45,52,3.733
48,55,4.253
54,58,5.288
56,61,5.582
58,64,5.886
61,67,6.25
63,70,6.528
67,73,6.966
68,76,7.234
69,77,7.363
70,79,7.751
75,85,8.492
79,88,8.939
83,91,9.533
87,94,10.121
91,97,10.636
94,100,11.065
98,103,11.531
105,107,12.701
107,109,13.321
108,112,13.575
112,115,14.282
118,119,14.987
1,0,0
1,13,0.003
1,16,0.004
2,29,0.203
3,31,0.4
5,33,0.756
8,36,1.487
21,46,3.652
24,48,4.119
26,51,4.621
30,54,5.334
32,57,5.7
35,60,5.951
40,63,6.484
42,66,6.862
43,69,7.015
47,72,7.525
50,75,8.074
53,78,8.638
53,79,8.749
56,81,9.043
58,84,9.419
61,87,9.772
63,90,10.067
65,93,10.356
68,96,10.779
69,97,10.913
70,99,11.267
74,102,11.77
76,105,12.194
79,108,12.589
83,111,13.09
86,114,13.508
90,117,14.011
93,120,14.493
96,123,14.822
101,126,15.575
101,127,15.575
103,129,15.954
104,131,16.13
119,0,0
119,3,0.06
119,6,0.066
119,12,0.071
119,15,0.083
119,18,0.096
119,21,0.102
119,24,0.111
119,26,0.119
119,27,0.127
119,30,0.14
119,31,0.149
119,33,0.16
119,39,0.348
119,41,0.391
119,42,0.393
113,44,0.581
110,47,1.118
107,50,1.89
103,53,2.824
99,56,3.324
97,59,3.737
94,62,4.128
90,65,4.63
88,68,4.949
85,71,5.291
82,74,5.637
81,75,5.775
79,77,6.148
79,80,6.152
76,83,6.459
74,86,6.858
71,89,7.33
69,92,7.682
67,95,8.119
64,98,8.467
62,101,8.738
59,104,9.053
59,105,9.107
58,107,9.227
56,110,9.659
52,113,10.185
48,116,10.934
43,118,11.652
41,119,11.931
36,121,12.577
