STOP_SEQUENCE,CUM_TIME,CUM_DIST
75,33,6.402
72,36,6.803
68,39,7.41
67,41,7.651
67,42,7.734
64,45,8.262
62,48,8.459
59,51,8.79
56,54,9.181
54,57,9.508
53,60,9.926
49,63,10.486
46,65,10.992
43,68,11.494
41,70,11.701
39,71,12.004
34,74,12.538
31,77,12.829
28,80,13.355
27,83,13.594
26,85,13.99
20,90,14.837
119,0,0
109,3,0.794
106,6,1.615
103,9,2.184
98,11,3.051
92,14,3.773
85,17,4.751
80,20,5.409
77,23,5.772
75,26,6.191
71,29,6.775
68,32,7.299
67,33,7.439
64,35,7.883
61,38,8.147
59,41,8.452
56,44,9.06
54,47,9.322
53,49,9.58
50,50,10.07
45,53,10.84
39,56,11.731
33,59,12.341
31,62,12.647
28,65,13.142
26,68,13.734
21,71,14.441
19,72,14.731
11,77,16.258
7,80,16.867
1,83,17.885
1,0,0
3,2,0.191
12,8,1.882
16,11,2.631
21,14,3.476
24,17,3.972
27,19,4.445
30,23,5.108
33,26,5.583
36,29,5.821
42,32,6.632
43,33,6.764
46,35,7.218
50,38,7.872
53,41,8.486
56,44,8.847
59,47,9.343
63,50,9.822
66,53,10.226
69,54,10.647
69,56,10.806
71,59,11.119
74,62,11.539
77,65,12.06
79,68,12.376
83,69,12.866
85,71,13.107
91,74,13.925
94,76,14.341
99,79,15.071
104,84,15.89
104,0,0
103,2,0.281
101,3,0.62
98,6,1.221
93,9,1.773
89,12,2.308
84,15,2.914
81,17,3.325
81,18,3.333
76,21,4.07
72,24,4.596
70,27,4.923
68,30,5.42
67,31,5.575
65,33,5.957
62,36,6.277
59,39,6.651
55,42,7.321
54,45,7.507
53,48,7.654
50,51,8.267
45,54,9.023
42,57,9.537
37,60,10.146
33,63,10.542
29,66,11.147
27,69,11.651
25,72,11.986
22,75,12.45
18,78,13.007
8,87,14.85
4,90,15.645
2,92,16.09
1,94,16.277
1,0,0
2,3,0.243
3,4,0.39
4,6,0.655
7,9,1.22
9,12,1.684
13,15,2.233
14,18,2.553
19,21,3.388
21,24,3.699
24,27,4.196
26,30,4.655
33,35,5.798
36,38,6.046
36,40,6.048
37,41,6.185
42,44,6.811
43,46,7.019
45,47,7.291
47,50,7.594
50,53,8.137
54,55,8.82
54,56,8.971
56,59,9.219
58,62,9.516
60,65,9.783
61,68,9.88
62,71,10.116
64,74,10.347
68,77,10.939
68,78,10.993
69,80,11.144
